consecutivo,tipoacuerdo,municipio,cod_municipio,subregion,fase,nropobla,aportegob,aportemun,aporteotr,fechainicio,fechafin,cantidadtotal,departamento,cod_divipola_depto,municipio_subsidio,cod_divipola_mun,programa,anio_asignacion,estado_postulacion,hogares,valor_asignado,tiene_subsidio
2020071905,Ejecucion,Andes,5034,Suroeste,Fase II,43269,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,ANDES,5034,MI CASA YA,2017,Asignados,1,14754340,Con subsidio
2020071905,Ejecucion,Andes,5034,Suroeste,Fase II,43269,10000000,5000000,0,2020-08-15,2021-06-30,1,ANTIOQUIA,5,ANDES,5034,Semillero de Propietarios Ahorro,2021,Asignados,2,10902312,Con subsidio
2020070536,Ejecucion,Alejandría,5021,Oriente,Fase I,150,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071641,Ejecucion,Abejorral,5002,Oriente,Fase I,20287,0,0,0,2020-09-01,2020-12-31,1,ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Esfuerzo Territorial,2006,Restitucion de subsidios no aplicados,2,16000000,Con subsidio
2020071641,Ejecucion,Abejorral,5002,Oriente,Fase I,20287,0,0,0,2020-09-01,2020-12-31,1,ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Desplazados,2008,Asignados,18,212014750,Con subsidio
2020071255,Viabilidad,Amagá,5030,Suroeste,Fase I,100,25000000,20000000,0,2020-10-01,2020-12-31,55,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071869,Viabilidad,Andes,5034,Suroeste,Fase III,50,15000000,11000000,0,2020-10-01,2020-12-31,31,ANTIOQUIA,5,ANDES,5034,MI CASA YA,2017,Asignados,1,14754340,Con subsidio
2020071869,Viabilidad,Andes,5034,Suroeste,Fase III,50,15000000,11000000,0,2020-10-01,2020-12-31,31,ANTIOQUIA,5,ANDES,5034,Semillero de Propietarios Ahorro,2021,Asignados,2,10902312,Con subsidio
2020071149,Ejecucion,Anzá,5044,Occidente,Fase I,7156,15000000,10000000,0,2020-10-01,2021-06-30,4,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070660,Ejecucion,Betania,5091,Suroeste,Fase I,10284,10000000,5000000,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071633,Gestion,Abejorral,5002,Oriente,Fase I,20287,112080078,0,0,2020-10-08,2020-12-15,400,ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Esfuerzo Territorial,2006,Restitucion de subsidios no aplicados,2,16000000,Con subsidio
2020071633,Gestion,Abejorral,5002,Oriente,Fase I,20287,112080078,0,0,2020-10-08,2020-12-15,400,ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Desplazados,2008,Asignados,18,212014750,Con subsidio
2020070726,Viabilidad,Alejandría,5021,Oriente,Fase I,350,0,0,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070484,Gestion,Angostura,5038,Norte,Fase I,11437,0,0,0,2020-09-15,2020-12-23,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072094,Ejecucion,Betulia,5093,Suroeste,Fase I,5700,12500000,0,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070506,Viabilidad,Angostura,5038,Norte,Fase I,250,20000000,10000000,0,2020-10-01,2020-12-31,30,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070727,Ejecucion,Alejandría,5021,Oriente,Fase I,320,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070999,Gestion,Alejandría,5021,Oriente,Fase I,4698,362203983,48000000,0,2020-09-03,2020-12-15,3,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071280,Ejecucion,Anzá,5044,Occidente,Fase I,200,20000000,10000000,0,2020-10-01,2020-12-31,46,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072109,Ejecucion,Betulia,5093,Suroeste,Fase I,17695,10000000,0,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071901,Gestion,Andes,5034,Suroeste,Fase II,43269,0,0,0,2020-09-01,2020-12-31,1,ANTIOQUIA,5,ANDES,5034,MI CASA YA,2017,Asignados,1,14754340,Con subsidio
2020071901,Gestion,Andes,5034,Suroeste,Fase II,43269,0,0,0,2020-09-01,2020-12-31,1,ANTIOQUIA,5,ANDES,5034,Semillero de Propietarios Ahorro,2021,Asignados,2,10902312,Con subsidio
2020072168,Ejecucion,Amalfi,5031,Nordeste,Fase II,27071,313901024,0,0,2020-09-03,2020-12-15,3,ANTIOQUIA,5,AMALFI,5031,Bolsa Esfuerzo Territorial,2007,Restitución SFV por Vencimiento Vigencia,2,15500000,Con subsidio
2020072168,Ejecucion,Amalfi,5031,Nordeste,Fase II,27071,313901024,0,0,2020-09-03,2020-12-15,3,ANTIOQUIA,5,AMALFI,5031,Bolsa Desplazados,2010,Restitución SFV por Indemnización,1,15450000,Con subsidio
2020072140,Ejecucion,Betulia,5093,Suroeste,Fase I,5700,10000000,0,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071886,Viabilidad,Argelia,5055,Oriente,Fase II,120,20000000,0,0,2020-10-01,2020-12-31,36,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070481,Viabilidad,Angostura,5038,Norte,Fase I,101,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071929,Gestion,Caramanta,5145,Suroeste,Fase II,4743,0,0,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070605,Gestion,Angostura,5038,Norte,Fase I,11437,109649684,0,0,2020-09-03,2020-12-15,3,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
