departamento,cod_divipola_depto,municipio,cod_divipola_mun
VALLE DEL CAUCA,76,JAMUNDÍ,76364
ANTIOQUIA,5,BELLO,5088
NORTE DE SANTANDER,54,SARDINATA,54720
VALLE DEL CAUCA,76,SEVILLA,76736
VALLE DEL CAUCA,76,CANDELARIA,76130
BOLÍVAR,13,CARTAGENA DE INDIAS,13001
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001
ATLÁNTICO,8,SOLEDAD,8758
CAUCA,19,SANTANDER DE QUILICHAO,19698
VALLE DEL CAUCA,76,PALMIRA,76520
HUILA,41,NEIVA,41001
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001
RISARALDA,66,DOSQUEBRADAS,66170
CUNDINAMARCA,25,ZIPAQUIRÁ,25899
CHOCÓ,27,RÍO QUITO,27600
SUCRE,70,SINCELEJO,70001
SANTANDER,68,MÁLAGA,68432
BOLÍVAR,13,TURBACO,13836
CAUCA,19,TOTORÓ,19824
NORTE DE SANTANDER,54,ÁBREGO,54003
META,50,SAN CARLOS DE GUAROA,50680
SANTANDER,68,GIRÓN,68307
VALLE DEL CAUCA,76,GUACARÍ,76318
ANTIOQUIA,5,DONMATÍAS,5237
META,50,ACACÍAS,50006
VALLE DEL CAUCA,76,YUMBO,76892
CUNDINAMARCA,25,TOCANCIPÁ,25817
TOLIMA,73,IBAGUÉ,73001
"BOGOTÁ, D.C.,11,""BOGOTÁ, D.C."",11001"
NORTE DE SANTANDER,54,LOS PATIOS,54405
CUNDINAMARCA,25,EL COLEGIO,25245
ATLÁNTICO,8,BARRANQUILLA,8001
BOYACÁ,15,BOAVITA,15097
TOLIMA,73,ESPINAL,73268
CESAR,20,VALLEDUPAR,20001
CAUCA,19,POPAYÁN,19001
HUILA,41,LA PLATA,41396
CUNDINAMARCA,25,MADRID,25430
ANTIOQUIA,5,CAREPA,5147
NARIÑO,52,PASTO,52001
VALLE DEL CAUCA,76,TORO,76823
CÓRDOBA,23,MONTERÍA,23001
BOLÍVAR,13,CANTAGALLO,13160
ANTIOQUIA,5,EL BAGRE,5250
CAQUETÁ,18,FLORENCIA,18001
CAUCA,19,CAJIBÍO,19130
CESAR,20,AGUSTÍN CODAZZI,20013
ANTIOQUIA,5,URRAO,5847
BOLÍVAR,13,SAN MARTÍN DE LOBA,13667
ANTIOQUIA,5,ANDES,5034
SANTANDER,68,SAN JOAQUÍN,68682
BOYACÁ,15,FLORESTA,15276
VALLE DEL CAUCA,76,FLORIDA,76275
ATLÁNTICO,8,GALAPA,8296
VALLE DEL CAUCA,76,CALIMA,76126
TOLIMA,73,GUAMO,73319
BOYACÁ,15,SOGAMOSO,15759
CAUCA,19,LA VEGA,19397
ANTIOQUIA,5,ARBOLETES,5051
CUNDINAMARCA,25,RICAURTE,25612
VALLE DEL CAUCA,76,CARTAGO,76147
VALLE DEL CAUCA,76,EL CERRITO,76248
CUNDINAMARCA,25,PACHO,25513
CAUCA,19,CORINTO,19212
BOYACÁ,15,TUNJA,15001
VALLE DEL CAUCA,76,ANDALUCÍA,76036
META,50,RESTREPO,50606
CUNDINAMARCA,25,SOACHA,25754
LA GUAJIRA,44,SAN JUAN DEL CESAR,44650
SANTANDER,68,FLORIDABLANCA,68276
CUNDINAMARCA,25,MEDINA,25438
HUILA,41,ACEVEDO,41006
ANTIOQUIA,5,SAN PEDRO DE URABÁ,5665
CÓRDOBA,23,VALENCIA,23855
SUCRE,70,SAN BENITO ABAD,70678
QUINDÍO,63,ARMENIA,63001
QUINDÍO,63,MONTENEGRO,63470
MAGDALENA,47,FUNDACIÓN,47288
CÓRDOBA,23,SAHAGÚN,23660
ANTIOQUIA,5,LA ESTRELLA,5380
CUNDINAMARCA,25,SUSA,25779
ATLÁNTICO,8,PALMAR DE VARELA,8520
HUILA,41,PALERMO,41524
SANTANDER,68,FLORIÁN,68271
ANTIOQUIA,5,YARUMAL,5887
ANTIOQUIA,5,ABEJORRAL,5002
ANTIOQUIA,5,RIONEGRO,5615
CESAR,20,AGUACHICA,20011
HUILA,41,RIVERA,41615
HUILA,41,COLOMBIA,41206
BOYACÁ,15,CHIQUINQUIRÁ,15176
NARIÑO,52,BARBACOAS,52079
ANTIOQUIA,5,VALDIVIA,5854
ANTIOQUIA,5,MEDELLÍN,5001
ANTIOQUIA,5,COPACABANA,5212
HUILA,41,PITAL,41548
MAGDALENA,47,ALGARROBO,47030
