departamento,codigo_divipola_departamento,municipio,codigo_divipola_municipio,programa,año_de_asignacion,estado_de_postulacion,hogares,valor_asignado
VALLE DEL CAUCA,76,JAMUNDÍ,76364,MI CASA YA,2024,Asignados,44,1391000000.0
ANTIOQUIA,5,BELLO,5088,MI CASA YA,2017,Asignados,5,73771700.0
NORTE DE SANTANDER,54,SARDINATA,54720,Bolsa Desplazados,2007,Asignados,36,386259750.0
VALLE DEL CAUCA,76,SEVILLA,76736,Programa Vivienda Gratuita Fase I,2014,Asignados,3,137215362.0
VALLE DEL CAUCA,76,CANDELARIA,76130,MI CASA YA,2021,Asignados,24,572371380.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2019,Asignados,15,322965240.0
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001,Semillero de Propietarios Arriendo,2022,Asignados,11,158126508.0
ATLÁNTICO,8,SOLEDAD,8758,Semillero de Propietarios Arriendo,2022,Asignados,1,15344640.0
CAUCA,19,SANTANDER DE QUILICHAO,19698,MI CASA YA,2022,Asignados,10,260000000.0
VALLE DEL CAUCA,76,PALMIRA,76520,Bolsa Ordinaria,2003,Apto con subsidio vencido,6,40479000.0
HUILA,41,NEIVA,41001,MI CASA YA,2024,Asignados,11,338000000.0
NORTE DE SANTANDER,54,SAN JOSÉ DE CÚCUTA,54001,VIPA,2016,Asignados,22,448145750.0
RISARALDA,66,DOSQUEBRADAS,66170,MI CASA YA,2024,Renuncias al subsidio,2,52000000.0
CUNDINAMARCA,25,ZIPAQUIRÁ,25899,MI CASA YA,2018,Asignados,1,15624840.0
CHOCÓ,27,RÍO QUITO,27600,Bolsa Esfuerzo Territorial,2011,Asignados,57,671106800.0
SUCRE,70,SINCELEJO,70001,Ahorro Programado Contractual,2012,Apto con subsidio vencido,2,15318160.0
SANTANDER,68,MÁLAGA,68432,MI CASA YA,2023,Asignados,1,23200000.0
BOLÍVAR,13,TURBACO,13836,MI CASA YA,2024,Asignados,12,416000000.0
CAUCA,19,TOTORÓ,19824,Programa Vivienda Gratuita Fase II,2019,Asignados,29,1607828620.0
ANTIOQUIA,5,BELLO,5088,Fenómeno de la Niña,2013,Renuncias al subsidio,20,358073190.0
CUNDINAMARCA,25,ZIPAQUIRÁ,25899,Semillero de Propietarios Arriendo,2021,Asignados,14,176381424.0
NORTE DE SANTANDER,54,ÁBREGO,54003,Bolsa Desplazados,2007,Asignados,10,112489500.0
META,50,SAN CARLOS DE GUAROA,50680,Semillero de Propietarios Arriendo,2022,Asignados,27,410213376.0
SANTANDER,68,GIRÓN,68307,MI CASA YA,2024,Asignados,20,728000000.0
VALLE DEL CAUCA,76,GUACARÍ,76318,MI CASA YA,2019,Asignados,13,322965240.0
ANTIOQUIA,5,DONMATÍAS,5237,MI CASA YA,2020,Asignados,2,52668180.0
META,50,ACACÍAS,50006,Semillero de Propietarios Arriendo,2022,Asignados,1,15344640.0
VALLE DEL CAUCA,76,YUMBO,76892,Ahorro Programado Contractual,2011,Apto con subsidio vencido,11,123534584.0
CUNDINAMARCA,25,TOCANCIPÁ,25817,MI CASA YA,2021,Asignados,27,490604040.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2022,Asignados,48,1170000000.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,32,468650000.0
NORTE DE SANTANDER,54,LOS PATIOS,54405,MI CASA YA,2019,Asignados,4,74530440.0
CUNDINAMARCA,25,EL COLEGIO,25245,MI CASA YA,2024,Asignados,1,26000000.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2020,Asignados,7,149226510.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2024,Renuncias al subsidio,3,104000000.0
BOYACÁ,15,BOAVITA,15097,MI CASA YA,2023,Asignados,1,34800000.0
TOLIMA,73,ESPINAL,73268,MI CASA YA,2024,Asignados,6,221000000.0
CESAR,20,VALLEDUPAR,20001,MI CASA YA,2020,Asignados,9,158004540.0
CAUCA,19,POPAYÁN,19001,MI CASA YA,2020,Asignados,4,87780300.0
HUILA,41,LA PLATA,41396,MI CASA YA,2021,Asignados,1,18170520.0
CUNDINAMARCA,25,MADRID,25430,MI CASA YA,2019,Asignados,3,57968120.0
NORTE DE SANTANDER,54,LOS PATIOS,54405,MI CASA YA,2019,Asignados,1,16562320.0
SUCRE,70,SINCELEJO,70001,MI CASA YA,2022,Asignados,11,310000000.0
RISARALDA,66,DOSQUEBRADAS,66170,VIPA,2016,Renuncias al subsidio,11,227520150.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Desplazados,2010,Asignados,45,614137500.0
ATLÁNTICO,8,SOLEDAD,8758,MI CASA YA,2024,Asignados,97,3640000000.0
NARIÑO,52,PASTO,52001,MI CASA YA,2017,Asignados,5,73771700.0
ATLÁNTICO,8,BARRANQUILLA,8001,MI CASA YA,2021,Asignados,30,663223980.0
TOLIMA,73,IBAGUÉ,73001,MI CASA YA,2018,Asignados,19,406245840.0
VALLE DEL CAUCA,76,TORO,76823,Ahorro Programado Contractual,2011,Apto con subsidio vencido,1,7659080.0
CÓRDOBA,23,MONTERÍA,23001,MI CASA YA,2019,Asignados,3,66249280.0
HUILA,41,NEIVA,41001,Bolsa Ordinaria,2003,Asignados,72,527898837.0
BOLÍVAR,13,CANTAGALLO,13160,Casa Digna Vida Digna,2025,Asignados,2,31200000.0
ANTIOQUIA,5,EL BAGRE,5250,Bolsa Concejales,2008,Asignados,1,5307250.0
CAQUETÁ,18,FLORENCIA,18001,Programa Vivienda Gratuita Fase I,2018,Asignados,82,3792498566.0
CUNDINAMARCA,25,MADRID,25430,MI CASA YA,2021,Asignados,4,72682080.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,VIPA,2016,Asignados,4,73078663.0
CAUCA,19,CAJIBÍO,19130,Casa Digna Vida Digna,2024,Asignados,14,194880000.0
CESAR,20,AGUSTÍN CODAZZI,20013,Habilitación de Titulos,2007,Restitucion de subsidios no aplicados,57,5700000.0
ANTIOQUIA,5,URRAO,5847,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,5,64375000.0
BOLÍVAR,13,SAN MARTÍN DE LOBA,13667,Bolsa Esfuerzo Territorial,2007,Restitución SFV por Indemnización,90,819630000.0
ANTIOQUIA,5,ANDES,5034,MI CASA YA,2017,Asignados,1,14754340.0
SANTANDER,68,SAN JOAQUÍN,68682,Bolsa Esfuerzo Territorial,2006,Asignados,28,222600000.0
BOYACÁ,15,FLORESTA,15276,Casa Digna Vida Digna,2025,Asignados,13,202791522.0
VALLE DEL CAUCA,76,FLORIDA,76275,MI CASA YA,2024,Asignados,3,104000000.0
BOLÍVAR,13,CARTAGENA DE INDIAS,13001,MI CASA YA,2017,Asignados,2,23606944.0
ATLÁNTICO,8,GALAPA,8296,MI CASA YA,2020,Asignados,4,96558330.0
VALLE DEL CAUCA,76,CALIMA,76126,Bolsa Desplazados,2010,Asignados,5,77250000.0
VALLE DEL CAUCA,76,SANTIAGO DE CALI,76001,MI CASA YA,2018,Renuncias al subsidio,1,23437260.0
ANTIOQUIA,5,BELLO,5088,MI CASA YA,2016,Asignados,2,22062560.0
TOLIMA,73,GUAMO,73319,MI CASA YA,2022,Asignados,1,20000000.0
BOYACÁ,15,SOGAMOSO,15759,MI CASA YA,2024,Asignados,4,117000000.0
META,50,ACACÍAS,50006,MI CASA YA,2018,Asignados,3,54686940.0
CAUCA,19,LA VEGA,19397,Bolsa Desplazados,2007,Asignados,16,166702000.0
CÓRDOBA,23,MONTERÍA,23001,MI CASA YA,2021,Asignados,7,163534680.0
ANTIOQUIA,5,ARBOLETES,5051,MI CASA YA,2023,Asignados,1,34800000.0
VALLE DEL CAUCA,76,SEVILLA,76736,Bolsa Ordinaria,2008,Asignados,9,81969300.0
CUNDINAMARCA,25,RICAURTE,25612,MI CASA YA,2017,Asignados,1,22131510.0
VALLE DEL CAUCA,76,CARTAGO,76147,Bolsa Desplazados,2018,Asignados,1,23437260.0
VALLE DEL CAUCA,76,EL CERRITO,76248,MI CASA YA,2023,Asignados,4,116000000.0
CUNDINAMARCA,25,PACHO,25513,MI CASA YA,2020,Asignados,1,17556060.0
CAUCA,19,CORINTO,19212,Bolsa Desplazados,2008,Asignados,9,104807750.0
NARIÑO,52,PASTO,52001,MI CASA YA,2021,Asignados,4,90852600.0
ANTIOQUIA,5,BELLO,5088,Casa Digna Vida Digna,2021,Asignados,10,199875720.0
CUNDINAMARCA,25,ZIPAQUIRÁ,25899,Semillero de Propietarios Arriendo,2020,Asignados,3,39193455.0
BOYACÁ,15,TUNJA,15001,MI CASA YA,2019,Asignados,12,223591320.0
VALLE DEL CAUCA,76,ANDALUCÍA,76036,VIPA,2015,Asignados,3,62050950.0
META,50,RESTREPO,50606,MI CASA YA,2018,Asignados,2,39062100.0
HUILA,41,NEIVA,41001,Bolsa Desplazados,2011,Asignados,28,443209000.0
CUNDINAMARCA,25,SOACHA,25754,Programa Vivienda Gratuita Fase I,2014,Asignados,153,6080804500.0
LA GUAJIRA,44,SAN JUAN DEL CESAR,44650,Ahorro Programado Contractual,2011,Apto con subsidio vencido,1,9144284.0
BOLÍVAR,13,TURBACO,13836,MI CASA YA,2018,Asignados,8,171873240.0
SANTANDER,68,FLORIDABLANCA,68276,Ahorro Programado Contractual,2012,Asignados,3,36268800.0
CUNDINAMARCA,25,MEDINA,25438,Bolsa Esfuerzo Territorial,2009,Asignados,42,425883450.0
"BOGOTÁ, D.C.",11,"BOGOTÁ, D.C.",11001,MI CASA YA,2017,Asignados,9,177052080.0
