"consecutivo","tipoacuerdo","nombrealcaldecomp","correo","municipio","cod_municipio","subregion","cod_subregion","nom_plandsllo","nom_proyecto","pladesarrolloant","compplandsllo","secretariamunicipal","fase","desc_proyecto","pobla_afectada","pobla_solucion","categoriapo","nropobla","aportegob","aportemun","aporteotr","obsevgral","fechainicio","fechafin","nombreprogramapland","nombreproducto","unidad","cantidadtotal","cantidadanio1","cantidadanio2","cantidadanio3","cantidadanio4"
"2020071905","Ejecucion","CARLOS ALBERTO OSORIO CALDERON","alcaldia@andes-antioquia.gov.co","Andes","05034","Suroeste","SR08","2020-2023 Alianza por el Desarrollo Humano","Fortalecimiento del Cuerpo de Bomberos en el Municipio de Andes, Antioquia","UNIDOS POR LA VIDA 2020 - 2023","Desarrollo del Territorio","Secretaría de Gobierno y Servicios Administrativos","Fase II","La problemática abarca en la baja capacidad de gestión y reacción que impiden una efectividad en el control y manejo de desastres viéndose
necesario el fortalecimiento institucional","43.269","Proyección de población DANE","Humana","43269","10000000","5000000","0","No aplica.","2020-08-15T00:00:00.000","2021-06-30T00:00:00.000","Manejo de desastres","Entidades pertenecientes al sistema departamental y municipal fortalecidas en capacidad de respuestas con herramientas, equipos e insumos para la atención de emergencias.","Número","1","0","1","0","0"
"2020070536","Ejecucion","SOR MARIA OCAMPO GIRALDO","alcaldia@alejandria-antioquia.gov.co","Alejandría","05021","Oriente","SR07","Unidos por Alejandría, construyendo Territorio","Titulacion y legalizacion de predios en el municipio de Alejandria","UNIDOS POR LA VIDA 2020 - 2023","Vivienda Digna","Secretaria de planeacion","Fase I","Familias que no poseen titularidad del predio y no pueden acceder a las ofertas de inversión social en el municipio","200 familias no tiene titularidad en sus predios","correspondiente a 50 familias","Humana","150","0","0","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Mejoramiento, legalización y titulación de vivienda social","Viviendas y predios titulados y/o legalizados","Número","1","1","0","0","0"
"2020071641","Ejecucion","JULIAN ANDRES MUÑOZ LOPEZ","alcalde@abejorral-antioquia.gov.co","Abejorral","05002","Oriente","SR07","Abejorral, Es el Momento 2020-2023","Legalización de predios y titulación de vivienda a población vulnerable del municipio de Abejorral.","UNIDOS POR LA VIDA 2020 - 2023","Abejorral es el momento del desarrollo económico.","Secretaría de Planeación e Infraestructura.","Fase I","Déficit de predios y viviendas legalizadas en el municipio de Abejorral.","Habitantes del municipio de Abejorral
Cantidad: 20.287 personas 
Fuente: TerriData, Sistema de Estadísticas Territoriales, 2020","Habitantes del municipio de Abejorral","Humana","20287","0","0","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Mejoramiento, legalización y titulación de vivienda social","Viviendas y predios titulados y/o legalizados","Número","1","1","0","0","0"
"2020071255","Viabilidad","LEONARDO DE JESUS MOLINA RODAS","alcaldia@amaga-antioquia.gov.co","Amagá","05030","Suroeste","SR08","Juntos por la Equidad","Agricultura sostenible para Garantizar la Soberanía alimentaria en 100 familias del Municipio de Amaga.","UNIDOS POR LA VIDA 2020 - 2023","Amagá Agropecuaria","Dirección de Agricultura y Desarrollo Rural","Fase I","En el municipio existen espacios sub-utilizados con condiciones aptas para la instalación de huertas caseras y escolares  (Agricultura Sostenible) que contribuyan a la soberanía alimentaria de las diferentes poblaciones vulnerables.","100 familias del municipio de Amagá","Familias Rurales de Amagá","Humana","100","25000000","20000000","0","No aplica","2020-10-01T00:00:00.000","2020-12-31T00:00:00.000","Producción y distribución sostenible y sustentable de alimentos","Huerta Familiar","Número","55","55","0","0","0"
"2020071869","Viabilidad","CARLOS ALBERTO OSORIO CALDERON","alcaldia@andes-antioquia.gov.co","Andes","05034","Suroeste","SR08","2020-2023 Alianza por el Desarrollo Humano","Implementación de Huertas Familiares en el Municipio de Andes, Antioquia","UNIDOS POR LA VIDA 2020 - 2023","Desarrollo del Territorio","Secretaría de Desarrollo Económico Sostenible","Fase III","A pesar de haber aproximadamente 12.000 familias que habitan en zona rural del municipio, no existe diversidad de cultivos, ni huertas
familiares que permitan generar productos de pan coger para auto abastecimiento","23.000","Secretaría de Desarrollo Económico","Humana","50","15000000","11000000","0","No aplica","2020-10-01T00:00:00.000","2020-12-31T00:00:00.000","Producción y distribución sostenible y sustentable de alimentos","Huerta Familiar","Número","31","31","0","0","0"
"2020071149","Ejecucion","ANDRES FELIPE HOLGUIN MUNERA","alcaldia@anza-antioquia.gov.co","Anzá","05044","Occidente","SR06","UNIDOS ¡Por Anzá! 2020-2023","UNIDOS POR UN ANZÁ FORTALECIDO EN LA GESTIÓN DEL RIESGO Y ADAPTACIÓN AL CAMBIO CLIMÁTICO","UNIDOS POR LA VIDA 2020 - 2023","Gestión del Riesgo como Estrategia de Desarrollo","Secretaria de Planeación y Obras Públicas","Fase I","Capacitar a la comunidad Anzarina como principal actor en la gestión del riesgo, base fundamental para que las comunidades comprendan la importancia de tener conocer el territorio y los fenómenos por los cuales pueden verse afectados para prevenir la ocupación y uso del suelo en zonas ya identificadas como de alto riesgo, y lograr que los escasos recursos financieros y técnicos que se tengan apunten a la reducción del riesgo a nivel municipal, mediante la construcción de adecuados instrumentos de conocimiento, reducción y manejo de desastres.","7168 personas del Municipio de Anzá, afectadas directas e indirectamente por la problemática y sus causas.","Personas del Municipio de Anzá","Humana","7156","15000000","10000000","0","No aplica.","2020-10-01T00:00:00.000","2021-06-30T00:00:00.000","Conocimiento del riesgo","Municipios y/o Distrito capacitados en gestión del riesgo de desastres, Municipios y/o Distrito capacitados en la actualización de los planes municipales de gestión del riesgo, Municipios y/o Distrito capacitados en la incorporación de protección financiera en la gestión del riesgo de desastres.","Número","4","0","4","0","0"
"2020070660","Ejecucion","CARLOS MARIO VILLADA URIBE","alcaldia@betania-antioquia.gov.co","Betania","05091","Suroeste","SR08","Betania tiene futuro 2020 - 2023","Dotacion del cuerpo de bomberos voluntarios del municipio de Betania","UNIDOS POR LA VIDA 2020 - 2023","2.5 - Gestión del riesgo","Secretaria de planeacion","Fase I","Escasa dotación del cuerpo de bomberos voluntarios para la atención de emergencias en el municipio de Betania","10284 población urbana y rural","Población urbana y rural proyección DANE 2020","Humana","10284","10000000","5000000","0","No aplica.","2020-10-01T00:00:00.000","2021-06-30T00:00:00.000","Manejo de desastres","Entidades pertenecientes al sistema departamental y municipal fortalecidas en capacidad de respuesta con herramientas, equipos e insumos para la atención de emergencias.","Número","1","0","1","0","0"
"2020071633","Gestion","JULIAN ANDRES MUÑOZ LOPEZ","alcalde@abejorral-antioquia.gov.co","Abejorral","05002","Oriente","SR07","Abejorral, Es el Momento 2020-2023","Actualización de los instrumentos de planeación territorial en el municipio de Abejorral.","UNIDOS POR LA VIDA 2020 - 2023","Abejorral es el momento de la transparencia.","Secretaría de Planeación e Infraestructura.","Fase I","Desactualización de los instrumentos de planeación en el municipio de Abejorral.","Habitantes de la zona urbana y rural del municipio de Abejorral
Cantidad: 20.287 personas
Fuente: TerriData, Sistema de Estadísticas Territoriales, 2020","Habitantes de la zona urbana y rural del municipio de Abejorral","Humana","20287","112080078","0","0","El municipio solicita articulación del equipo del dap con el equipo del ministerio asignado. El aporte del dap corresponde acompañamiento profesional,  asesoría técnica y capacitaciones. Para actualización catastral debe generarse una mesa técnica entre Dap y municipio.","2020-10-08T00:00:00.000","2020-12-15T00:00:00.000","Planeación territorial en Antioquia","Acompañamiento técnico","Horas","400","400","0","0","0"
"2020070726","Viabilidad","SOR MARIA OCAMPO GIRALDO","alcaldia@alejandria-antioquia.gov.co","Alejandría","05021","Oriente","SR07","Unidos por Alejandría, construyendo Territorio","Mejoramiento de 100 viviendas en la zona urbana y rural del municipio de Alejandria","UNIDOS POR LA VIDA 2020 - 2023","Vivienda Digna","Secretaria de Planeacion","Fase I","Deficit cualitativo de vivienda en la zona urbana y rural","400 viviendas en malas condiciones","personas que corresponden a 100 familias","Humana","350","0","0","0","Acuerdo para llevar a fase 3 y ejecutar en 2021","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","Mejoramiento, legalización y titulación de vivienda social","Mejoramiento de vivienda","Número","1","0","1","0","0"
"2020070484","Gestion","GREGORIO DE JESUS GUTIERREZ GONZALEZ","alcaldia@angostura-antioquia.gov.co","Angostura","05038","Norte","SR05","Angostura Un Nuevo Comienzo Para el Progreso","Establecimiento de 10 tiendas escolares en 10 instituciones educativas del Municipio de Angostura","UNIDOS POR LA VIDA 2020 - 2023","Línea Estratégica 3: Angostura Competitiva, turística, emprendedora y conectada al mundo con infraestructura adecuada","Secretaria de Agricultura, Ambiente y Desarrollo Comunitario","Fase I","El municipio de Angostura cuenta con múltiples instituciones educativas rurales y urbanas donde asisten jóvenes y niños con deficiencias nutricionales que se deben de ayudar a resolver y mitigar, una estrategia puede ser fomentando las tiendas escolares con productos que se puedan aprovechar y generar valor agregado y sub productos de las huertas familiares, además poder colocar allí en esas tiendas productos energéticos, proteicos, con fibra que ayuden en la dieta de los escolares como alimentación sana y sostenible a bajos costos para los estudiantes o que pueda generarse trueques que les permitan cambian productos de la huerta por productos de las tiendas escolares.","10 tiendas escolares en diferentes instituciones educativas; 11437 habitantes.","Son personas de los niveles 1 y 2 del SISBEN que viven en la zona Rural
y urbana del municipio.","Humana","11437","0","0","0","No se cuenta con recursos, se propone apoyo técnico con recurso técnico y humano","2020-09-15T00:00:00.000","2020-12-23T00:00:00.000","Ambientes alimentarios saludables y sustentables","Acciones y procesos de acompañamiento a los municipios en cuanto al tema de tiendas Escolares Saludables","Número","1","30","0","0","0"
