"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2024","Asignados","44","1391000000"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2017","Asignados","5","73771700"
"NORTE DE SANTANDER","54","SARDINATA","54720","Bolsa Desplazados","2007","Asignados","36","386259750"
"VALLE DEL CAUCA","76","SEVILLA","76736","Programa Vivienda Gratuita Fase I","2014","Asignados","3","137215362"
"VALLE DEL CAUCA","76","CANDELARIA","76130","MI CASA YA","2021","Asignados","24","572371380"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2019","Asignados","15","322965240"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","Semillero de Propietarios Arriendo","2022","Asignados","11","158126508"
"ATLÁNTICO","8","SOLEDAD","8758","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"CAUCA","19","SANTANDER DE QUILICHAO","19698","MI CASA YA","2022","Asignados","10","260000000"
"VALLE DEL CAUCA","76","PALMIRA","76520","Bolsa Ordinaria","2003","Apto con subsidio vencido","6","40479000"
"HUILA","41","NEIVA","41001","MI CASA YA","2024","Asignados","11","338000000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","VIPA","2016","Asignados","22","448145750"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2024","Renuncias al subsidio","2","52000000"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2018","Asignados","1","15624840"
"CHOCÓ","27","RÍO QUITO","27600","Bolsa Esfuerzo Territorial","2011","Asignados","57","671106800"
"SUCRE","70","SINCELEJO","70001","Ahorro Programado Contractual","2012","Apto con subsidio vencido","2","15318160"
"SANTANDER","68","MÁLAGA","68432","MI CASA YA","2023","Asignados","1","23200000"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2024","Asignados","12","416000000"
"CAUCA","19","TOTORÓ","19824","Programa Vivienda Gratuita Fase II","2019","Asignados","29","1607828620"
"ANTIOQUIA","5","BELLO","5088","Fenómeno de la Niña","2013","Renuncias al subsidio","20","358073190"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","Semillero de Propietarios Arriendo","2021","Asignados","14","176381424"
"NORTE DE SANTANDER","54","ÁBREGO","54003","Bolsa Desplazados","2007","Asignados","10","112489500"
"META","50","SAN CARLOS DE GUAROA","50680","Semillero de Propietarios Arriendo","2022","Asignados","27","410213376"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2024","Asignados","20","728000000"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2019","Asignados","13","322965240"
"ANTIOQUIA","5","DONMATÍAS","5237","MI CASA YA","2020","Asignados","2","52668180"
"META","50","ACACÍAS","50006","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"VALLE DEL CAUCA","76","YUMBO","76892","Ahorro Programado Contractual","2011","Apto con subsidio vencido","11","123534584"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","MI CASA YA","2021","Asignados","27","490604040"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2022","Asignados","48","1170000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","32","468650000"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","MI CASA YA","2019","Asignados","4","74530440"
"CUNDINAMARCA","25","EL COLEGIO","25245","MI CASA YA","2024","Asignados","1","26000000"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2020","Asignados","7","149226510"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2024","Renuncias al subsidio","3","104000000"
"BOYACÁ","15","BOAVITA","15097","MI CASA YA","2023","Asignados","1","34800000"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2024","Asignados","6","221000000"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2020","Asignados","9","158004540"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2020","Asignados","4","87780300"
"HUILA","41","LA PLATA","41396","MI CASA YA","2021","Asignados","1","18170520"
"CUNDINAMARCA","25","MADRID","25430","MI CASA YA","2019","Asignados","3","57968120"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","MI CASA YA","2019","Asignados","1","16562320"
"SUCRE","70","SINCELEJO","70001","MI CASA YA","2022","Asignados","11","310000000"
"RISARALDA","66","DOSQUEBRADAS","66170","VIPA","2016","Renuncias al subsidio","11","227520150"
"ANTIOQUIA","5","CAREPA","5147","Bolsa Desplazados","2010","Asignados","45","614137500"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2024","Asignados","97","3640000000"
"NARIÑO","52","PASTO","52001","MI CASA YA","2017","Asignados","5","73771700"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2021","Asignados","30","663223980"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2018","Asignados","19","406245840"
"VALLE DEL CAUCA","76","TORO","76823","Ahorro Programado Contractual","2011","Apto con subsidio vencido","1","7659080"
